InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Total,NetTotal
371836,SKU_1480,T-shirt,30,"2020-01-04 15:00:00",83.42,62583.0,"United Kingdom",0.45,"Bank Transfer",5.92,Electronics,Online,"Not Returned",UPS,Paris,Low,2489.1,2483.18
296769,SKU_1209,"White Mug",6,"2020-01-04 18:00:00",87.27,79200.0,Belgium,0.08,paypall,22.59,Electronics,Online,"Not Returned",DHL,Paris,Low,523.14,500.55
453531,SKU_1880,"Wall Clock",21,"2020-01-05 02:00:00",3.75,84562.0,Portugal,0.02,"Bank Transfer",16.33,Electronics,In-store,"Not Returned",DHL,Berlin,Low,78.33,62
374329,SKU_1585,"Blue Pen",23,"2020-01-05 12:00:00",49.73,59407.0,Italy,0.31,"Credit Card",26.62,Electronics,Online,"Not Returned","Royal Mail",Rome,High,1136.66,1110.04
233767,SKU_1836,"Wall Clock",11,"2020-01-06 02:00:00",37.38,15608.0,Sweden,0.02,"Credit Card",8.95,Electronics,In-store,"Not Returned",FedEx,Amsterdam,Low,410.96,402.01
113986,SKU_1633,T-shirt,6,"2020-01-06 09:00:00",39.39,43069.0,"United Kingdom",0.29,"Bank Transfer",9.85,Electronics,In-store,"Not Returned",DHL,Rome,Medium,234.6,224.75
229312,SKU_1665,Headphones,43,"2020-01-06 11:00:00",87.12,78376.0,Germany,0.45,"Bank Transfer",18.17,Electronics,In-store,"Not Returned",UPS,London,Low,3726.81,3708.64
950937,SKU_1588,"Wall Clock",26,"2020-01-06 16:00:00",44.69,78432.0,France,0.46,"Bank Transfer",21.57,Electronics,In-store,"Not Returned","Royal Mail",London,Low,1149.98,1128.41
373109,SKU_1671,"White Mug",20,"2020-01-07 06:00:00",28.4,44898.0,Netherlands,0.49,"Credit Card",28.77,Electronics,Online,"Not Returned",UPS,Amsterdam,Medium,558.2,529.43
994498,SKU_1997,Headphones,47,"2020-01-07 08:00:00",16.09,25641.0,Italy,0.42,"Credit Card",6.17,Electronics,In-store,Returned,"Royal Mail",Berlin,Low,736.49,730.32
301664,SKU_1330,"White Mug",46,"2020-01-07 09:00:00",76.94,96058.0,"United Kingdom",0.04,"Credit Card",25.4,Electronics,In-store,"Not Returned",FedEx,Berlin,Medium,3537.4,3512
258338,SKU_1737,"Blue Pen",14,"2020-01-07 14:00:00",85.66,99357.0,"United Kingdom",0.02,"Bank Transfer",7.49,Electronics,Online,"Not Returned",UPS,Amsterdam,Medium,1198.96,1191.47
745914,SKU_1482,"White Mug",11,"2020-01-07 20:00:00",83.38,60352.0,Spain,0.35,"Credit Card",21.57,Electronics,Online,Returned,DHL,Berlin,Medium,913.33,891.76
219176,SKU_1755,"White Mug",42,"2020-01-07 21:00:00",2.07,72043.0,"United Kingdom",0.14,"Credit Card",8.46,Electronics,Online,"Not Returned",FedEx,Rome,Medium,81.06,72.6
318126,SKU_1644,Headphones,48,"2020-01-07 22:00:00",49.42,75448.0,France,0.15,"Bank Transfer",14.8,Electronics,In-store,"Not Returned",FedEx,Berlin,High,2364.96,2350.16
974371,SKU_1917,Backpack,31,"2020-01-08 10:00:00",74.85,17169.0,France,0.01,"Credit Card",9.29,Electronics,Online,"Not Returned","Royal Mail",Paris,Medium,2320.04,2310.75
298286,SKU_1579,"Wireless Mouse",42,"2020-01-08 15:00:00",19.62,46971.0,Netherlands,0.28,paypall,24.27,Electronics,In-store,"Not Returned","Royal Mail",Paris,Medium,812.28,788.01
424767,SKU_1581,"White Mug",4,"2020-01-08 19:00:00",19.9,22909.0,Sweden,0.17,paypall,5.99,Electronics,In-store,"Not Returned",UPS,Rome,Medium,78.92,72.93
961882,SKU_1798,"Wall Clock",25,"2020-01-08 20:00:00",49.1,58651.0,Germany,0.46,"Bank Transfer",25.2,Electronics,In-store,"Not Returned",UPS,Paris,Low,1216,1190.8
979858,SKU_1528,"White Mug",39,"2020-01-08 21:00:00",96.14,48100.0,Italy,0.1,"Credit Card",25.18,Electronics,Online,"Not Returned","Royal Mail",Berlin,Low,3745.56,3720.38
515515,SKU_1218,Backpack,45,"2020-01-08 23:00:00",17.82,37608.0,Spain,0.42,paypall,26.82,Electronics,Online,Returned,FedEx,Rome,High,783,756.18
143585,SKU_1822,"Wall Clock",48,"2020-01-09 00:00:00",37.1,77521.0,Sweden,0.16,"Bank Transfer",28.1,Electronics,In-store,"Not Returned",UPS,Amsterdam,Medium,1773.12,1745.02
471369,SKU_1517,"White Mug",23,"2020-01-09 01:00:00",61.35,26697.0,"United Kingdom",0.22,"Credit Card",28.16,Electronics,Online,"Not Returned","Royal Mail",Berlin,High,1405.99,1377.83
300235,SKU_1695,T-shirt,8,"2020-01-09 08:00:00",26.85,41093.0,Sweden,0.12,"Bank Transfer",17.41,Electronics,In-store,"Not Returned",DHL,Paris,Medium,213.84,196.43
642335,SKU_1724,Notebook,27,"2020-01-09 11:00:00",92.74,58567.0,Australia,0.45,"Bank Transfer",26.28,Electronics,In-store,"Not Returned",UPS,Berlin,Medium,2491.83,2465.55
175766,SKU_1540,T-shirt,48,"2020-01-09 13:00:00",49.92,33164.0,Germany,0.15,paypall,5.24,Electronics,In-store,Returned,FedEx,Paris,Low,2388.96,2383.72
910208,SKU_1318,"USB Cable",49,"2020-01-09 18:00:00",73.62,52179.0,"United States",0.45,"Credit Card",29.87,Electronics,Online,"Not Returned",DHL,London,High,3585.33,3555.46
890180,SKU_1069,"USB Cable",47,"2020-01-10 08:00:00",24.55,73136.0,France,0.35,paypall,9.58,Electronics,In-store,Returned,FedEx,Amsterdam,High,1137.4,1127.82
328576,SKU_1327,"Wall Clock",7,"2020-01-10 09:00:00",68.38,GUEST,Netherlands,0.14,"Credit Card",16.63,Electronics,Online,"Not Returned",FedEx,Paris,Medium,477.68,461.05
139353,SKU_1254,"Wireless Mouse",10,"2020-01-10 20:00:00",13.14,97802.0,France,0.18,paypall,15.02,Electronics,In-store,"Not Returned",DHL,Amsterdam,High,129.6,114.58
414877,SKU_1334,"Desk Lamp",24,"2020-01-10 23:00:00",2.27,57019.0,Italy,0.26,"Credit Card",20.52,Electronics,In-store,"Not Returned",FedEx,Rome,High,48.24,27.72
516880,SKU_1477,"Wireless Mouse",29,"2020-01-11 03:00:00",93.34,85820.0,France,0.1,"Credit Card",27.69,Electronics,In-store,"Not Returned",FedEx,London,High,2703.96,2676.27
998613,SKU_1589,"Office Chair",28,"2020-01-11 12:00:00",76.03,29977.0,Spain,0.13,"Bank Transfer",14.05,Electronics,In-store,"Not Returned",DHL,Paris,Medium,2125.2,2111.15
418394,SKU_1695,"Wall Clock",4,"2020-01-13 03:00:00",14.99,79598.0,"United Kingdom",0.33,paypall,5.17,Electronics,Online,Returned,"Royal Mail",Rome,High,58.64,53.47
659042,SKU_1181,"Blue Pen",13,"2020-01-13 05:00:00",34,65625.0,Belgium,0.23,paypall,6.96,Electronics,In-store,Returned,FedEx,Rome,High,439.01,432.05
862002,SKU_1209,"Wall Clock",46,"2020-01-13 07:00:00",10.52,74368.0,"United Kingdom",0.32,"Bank Transfer",5.84,Electronics,In-store,"Not Returned","Royal Mail",Berlin,High,469.2,463.36
373255,SKU_1909,Headphones,22,"2020-01-13 17:00:00",36.17,66940.0,Portugal,0.3,"Bank Transfer",23.22,Electronics,Online,"Not Returned",DHL,Paris,High,789.14,765.92
566872,SKU_1979,"Office Chair",20,"2020-01-13 21:00:00",99.49,66028.0,Spain,0.43,"Bank Transfer",26.86,Electronics,In-store,"Not Returned",FedEx,Paris,Medium,1981.2,1954.34
745263,SKU_1984,Backpack,42,"2020-01-14 06:00:00",62.97,23492.0,Portugal,0.07,paypall,18.43,Electronics,Online,"Not Returned",DHL,Amsterdam,Medium,2641.8,2623.37
786976,SKU_1446,"White Mug",35,"2020-01-14 13:00:00",53.85,40737.0,"United Kingdom",0.29,paypall,10.35,Electronics,Online,"Not Returned",DHL,London,High,1874.6,1864.25
907364,SKU_1666,"Wireless Mouse",22,"2020-01-14 16:00:00",2.56,52162.0,Portugal,0.11,"Credit Card",17.85,Electronics,Online,"Not Returned",DHL,London,Medium,53.9,36.05
369544,SKU_1177,"White Mug",48,"2020-01-14 21:00:00",35.38,92841.0,France,0.06,"Bank Transfer",27.56,Electronics,Online,Returned,UPS,London,High,1695.36,1667.8
798002,SKU_1256,T-shirt,12,"2020-01-14 23:00:00",28.41,81681.0,"United States",0.08,"Bank Transfer",11.15,Electronics,Online,"Not Returned","Royal Mail",Berlin,Low,339.96,328.81
628787,SKU_1214,"Office Chair",26,"2020-01-15 02:00:00",99.22,73669.0,"United States",0.19,paypall,14.37,Electronics,Online,"Not Returned",DHL,Paris,Low,2574.78,2560.41
488215,SKU_1029,"Desk Lamp",2,"2020-01-15 04:00:00",36.79,26750.0,"United States",0.27,paypall,6.59,Electronics,In-store,"Not Returned",UPS,Amsterdam,Low,73.04,66.45
898615,SKU_1064,T-shirt,19,"2020-01-15 06:00:00",23.45,65931.0,Italy,0.46,"Bank Transfer",17.12,Electronics,Online,"Not Returned",DHL,Rome,Low,436.81,419.69
522515,SKU_1635,"Wall Clock",25,"2020-01-15 07:00:00",7.42,GUEST,"United States",0.1,"Bank Transfer",8.87,Electronics,In-store,"Not Returned",DHL,Amsterdam,Low,183,174.13
891971,SKU_1025,"White Mug",4,"2020-01-15 11:00:00",60.43,37566.0,Portugal,0.11,paypall,15.94,Electronics,In-store,"Not Returned",DHL,Rome,Medium,241.28,225.34
803714,SKU_1775,Backpack,19,"2020-01-15 15:00:00",54.66,GUEST,"United States",0.47,paypall,21.01,Electronics,Online,"Not Returned",DHL,MAIN,Low,1029.61,1008.6
102869,SKU_1354,Backpack,32,"2020-01-16 01:00:00",65.78,37314.0,Belgium,0.04,"Bank Transfer",28.56,Electronics,In-store,"Not Returned",UPS,Amsterdam,Medium,2103.68,2075.12
736584,SKU_1977,T-shirt,42,"2020-01-16 05:00:00",95.54,21909.0,"United States",0.46,"Bank Transfer",28.49,Electronics,In-store,"Not Returned",FedEx,Berlin,High,3993.36,3964.87
718467,SKU_1423,Notebook,19,"2020-01-16 06:00:00",57.43,48484.0,France,0.43,paypall,10.65,Electronics,Online,"Not Returned",DHL,Berlin,Medium,1083,1072.35
158871,SKU_1477,Notebook,20,"2020-01-16 13:00:00",49.04,GUEST,Belgium,0.04,paypall,22.13,Electronics,In-store,"Not Returned",FedEx,MAIN,High,980,957.87
825451,SKU_1029,Backpack,20,"2020-01-16 20:00:00",25.01,41399.0,Portugal,0.1,"Bank Transfer",7.52,Electronics,In-store,"Not Returned","Royal Mail",London,High,498.2,490.68
207450,SKU_1726,"Wireless Mouse",42,"2020-01-16 21:00:00",33.58,20893.0,Portugal,0.49,"Bank Transfer",27.09,Electronics,Online,"Not Returned",FedEx,London,High,1389.78,1362.69
829650,SKU_1124,"Blue Pen",23,"2020-01-17 06:00:00",48.11,21572.0,"United States",0.36,"Credit Card",13.09,Electronics,In-store,"Not Returned",FedEx,Rome,Low,1098.25,1085.16
499111,SKU_1695,"Wireless Mouse",49,"2020-01-17 08:00:00",73.46,71315.0,"United Kingdom",0.27,"Bank Transfer",26.14,Electronics,In-store,"Not Returned",FedEx,Amsterdam,Medium,3586.31,3560.17
811851,SKU_1514,"White Mug",35,"2020-01-18 01:00:00",8.58,61025.0,Belgium,0.11,"Credit Card",16.74,Electronics,Online,"Not Returned",DHL,Rome,Medium,296.45,279.71
224123,SKU_1530,"Blue Pen",25,"2020-01-18 02:00:00",37.79,87892.0,"United States",0.24,"Credit Card",14.02,Electronics,Online,"Not Returned",DHL,Berlin,High,938.75,924.73
182989,SKU_1400,"Wall Clock",26,"2020-01-18 04:00:00",70.16,19601.0,Portugal,0.29,paypall,16.03,Electronics,Online,"Not Returned",UPS,Berlin,Medium,1816.62,1800.59
398356,SKU_1220,"Blue Pen",19,"2020-01-18 05:00:00",57.33,48865.0,Italy,0.17,"Credit Card",14.33,Electronics,Online,"Not Returned",FedEx,Rome,Low,1086.04,1071.71
425352,SKU_1112,Backpack,47,"2020-01-18 09:00:00",99.29,71707.0,Norway,0.01,"Credit Card",29.26,Electronics,In-store,"Not Returned","Royal Mail",London,Low,4666.16,4636.9
983184,SKU_1217,Headphones,45,"2020-01-18 13:00:00",63.79,34714.0,"United States",0.15,"Bank Transfer",24.98,Electronics,Online,"Not Returned","Royal Mail",Amsterdam,Medium,2863.8,2838.82
538452,SKU_1112,Headphones,37,"2020-01-18 15:00:00",86.73,96532.0,"United States",0.34,"Bank Transfer",20.53,Electronics,Online,"Not Returned",FedEx,Paris,Medium,3196.43,3175.9
215294,SKU_1699,"White Mug",27,"2020-01-18 16:00:00",54.06,31323.0,Norway,0.23,"Bank Transfer",13.61,Electronics,Online,"Not Returned",DHL,Rome,Medium,1453.41,1439.8
559451,SKU_1121,"USB Cable",32,"2020-01-18 17:00:00",25.41,90490.0,Australia,0.36,"Bank Transfer",18.24,Electronics,In-store,"Not Returned",UPS,Paris,High,801.6,783.36
368246,SKU_1399,"White Mug",25,"2020-01-18 22:00:00",9.67,35393.0,Spain,0.05,"Credit Card",8.52,Electronics,Online,Returned,DHL,Rome,Low,240.5,231.98
805696,SKU_1355,Backpack,18,"2020-01-18 23:00:00",5.62,54746.0,Netherlands,0.27,paypall,29.57,Electronics,In-store,Returned,UPS,Rome,Low,96.3,66.73
218015,SKU_1098,T-shirt,1,"2020-01-19 00:00:00",70.12,93701.0,Portugal,0.08,"Credit Card",22.67,Electronics,Online,"Not Returned",DHL,Paris,Low,70.04,47.37
789944,SKU_1960,"Wireless Mouse",36,"2020-01-19 04:00:00",26.85,45161.0,Netherlands,0.25,"Bank Transfer",23.51,Electronics,Online,Returned,FedEx,London,High,957.6,934.09
465890,SKU_1905,Notebook,16,"2020-01-19 07:00:00",10.26,82809.0,Norway,0.08,"Bank Transfer",29.4,Electronics,In-store,"Not Returned","Royal Mail",Paris,High,162.88,133.48
172991,SKU_1026,"Blue Pen",36,"2020-01-19 11:00:00",13.43,28224.0,Portugal,0.02,"Credit Card",19.32,Electronics,Online,Returned,"Royal Mail",Rome,Medium,482.76,463.44
373237,SKU_1722,"Wall Clock",35,"2020-01-19 13:00:00",83.56,33890.0,"United Kingdom",0.09,"Bank Transfer",13.83,Electronics,Online,"Not Returned","Royal Mail",Paris,Low,2921.45,2907.62
276089,SKU_1528,Notebook,33,"2020-01-19 20:00:00",28.54,26256.0,"United Kingdom",0.08,"Credit Card",6.33,Electronics,In-store,"Not Returned",UPS,London,High,939.18,932.85
730152,SKU_1303,"Office Chair",36,"2020-01-19 23:00:00",41.73,48891.0,"United States",0.46,paypall,8.52,Electronics,Online,"Not Returned","Royal Mail",Berlin,High,1485.72,1477.2
493002,SKU_1176,T-shirt,36,"2020-01-20 00:00:00",10.53,79142.0,"United States",0.22,paypall,23.27,Electronics,In-store,"Not Returned","Royal Mail",Paris,Medium,371.16,347.89
679036,SKU_1195,T-shirt,16,"2020-01-20 04:00:00",17.22,GUEST,Spain,0.03,"Credit Card",11.63,Electronics,In-store,"Not Returned",UPS,London,Low,275.04,263.41
542905,SKU_1457,Backpack,24,"2020-01-20 07:00:00",5.32,31103.0,Sweden,0,paypall,21.83,Electronics,Online,Returned,DHL,Rome,Medium,127.68,105.85
580761,SKU_1205,"Blue Pen",27,"2020-01-20 14:00:00",16.64,10710.0,Australia,0.39,"Credit Card",28.79,Electronics,Online,"Not Returned",FedEx,Rome,Low,438.75,409.96
712210,SKU_1979,"Blue Pen",9,"2020-01-21 02:00:00",83.09,GUEST,Spain,0.15,paypall,5.34,Electronics,In-store,Returned,UPS,MAIN,Low,746.46,741.12
132097,SKU_1449,"Wireless Mouse",22,"2020-01-21 06:00:00",46.94,93300.0,Norway,0.46,"Credit Card",22.41,Electronics,In-store,Returned,FedEx,Amsterdam,Medium,1022.56,1000.15
766326,SKU_1475,"Blue Pen",26,"2020-01-21 07:00:00",97.01,55735.0,"United Kingdom",0.41,"Credit Card",7.83,Electronics,Online,"Not Returned",DHL,London,High,2511.6,2503.77
218834,SKU_1859,"Desk Lamp",37,"2020-01-21 10:00:00",14.34,76763.0,"United States",0.37,"Credit Card",21.99,Electronics,Online,"Not Returned","Royal Mail",Amsterdam,Medium,516.89,494.9
561243,SKU_1050,"Office Chair",25,"2020-01-22 00:00:00",81.71,12403.0,Sweden,0.44,"Credit Card",25.36,Electronics,In-store,"Not Returned",FedEx,Berlin,Low,2031.75,2006.39
711523,SKU_1709,"Wall Clock",47,"2020-01-22 06:00:00",78.19,57539.0,"United Kingdom",0,"Credit Card",6.46,Electronics,In-store,"Not Returned",DHL,Paris,Low,3674.93,3668.47
970045,SKU_1085,"Wireless Mouse",37,"2020-01-22 18:00:00",82.4,13572.0,France,0.05,"Bank Transfer",17.68,Electronics,In-store,"Not Returned",FedEx,Paris,Low,3046.95,3029.27
322866,SKU_1723,Notebook,39,"2020-01-22 19:00:00",26.77,GUEST,France,0.49,"Bank Transfer",5.33,Electronics,In-store,"Not Returned","Royal Mail",Amsterdam,Low,1024.92,1019.59
698135,SKU_1295,"Blue Pen",25,"2020-01-22 21:00:00",50.32,41706.0,Australia,0.48,"Bank Transfer",24.08,Electronics,Online,Returned,FedEx,Amsterdam,High,1246,1221.92
494366,SKU_1778,"Wireless Mouse",33,"2020-01-23 09:00:00",34.13,28276.0,Italy,0.36,"Bank Transfer",12.34,Electronics,In-store,"Not Returned",DHL,Paris,Low,1114.41,1102.07
844840,SKU_1947,"Wireless Mouse",7,"2020-01-23 10:00:00",26.78,13702.0,France,0.19,"Bank Transfer",17.84,Electronics,Online,"Not Returned","Royal Mail",Berlin,Medium,186.13,168.29
903328,SKU_1958,"Office Chair",8,"2020-01-23 16:00:00",44.96,40213.0,"United Kingdom",0.14,"Bank Transfer",18.06,Electronics,Online,"Not Returned",DHL,Berlin,High,358.56,340.5
277247,SKU_1179,"Office Chair",30,"2020-01-23 17:00:00",47.11,23402.0,Italy,0.27,"Credit Card",13.09,Electronics,Online,"Not Returned",FedEx,Amsterdam,High,1405.2,1392.11
763165,SKU_1437,"Wall Clock",13,"2020-01-23 18:00:00",83.03,33843.0,Sweden,0.06,"Credit Card",10.78,Electronics,Online,"Not Returned",DHL,Paris,Medium,1078.61,1067.83
629525,SKU_1372,"Office Chair",38,"2020-01-23 19:00:00",81.69,15316.0,Sweden,0.16,"Bank Transfer",23.51,Electronics,In-store,"Not Returned",DHL,Rome,Medium,3098.14,3074.63
506716,SKU_1328,Notebook,2,"2020-01-24 02:00:00",64.79,40483.0,Netherlands,0.03,"Bank Transfer",21.61,Electronics,Online,"Not Returned",FedEx,Rome,Medium,129.52,107.91
765022,SKU_1738,T-shirt,45,"2020-01-24 05:00:00",2.42,69203.0,Portugal,0.36,"Credit Card",25.9,Electronics,Online,"Not Returned",FedEx,Rome,High,92.7,66.8
737717,SKU_1864,"Desk Lamp",13,"2020-01-24 07:00:00",48.68,68150.0,Belgium,0.4,paypall,11.48,Electronics,In-store,"Not Returned","Royal Mail",Paris,High,627.64,616.16
840427,SKU_1109,Backpack,40,"2020-01-24 11:00:00",94.64,53288.0,Netherlands,0.33,paypall,9.98,Electronics,Online,"Not Returned",DHL,London,Medium,3772.4,3762.42
244356,SKU_1364,"Desk Lamp",24,"2020-01-24 15:00:00",19.45,12608.0,"United Kingdom",0.49,"Bank Transfer",7.92,Electronics,Online,"Not Returned","Royal Mail",Rome,Medium,455.04,447.12
554605,SKU_1152,"Blue Pen",23,"2020-01-24 18:00:00",9.11,67751.0,"United Kingdom",0.24,"Credit Card",27.4,Electronics,In-store,Returned,DHL,Paris,High,204.01,176.61
675581,SKU_1854,Backpack,13,"2020-01-24 23:00:00",50.96,33404.0,Norway,0.44,"Credit Card",7.12,Electronics,Online,"Not Returned","Royal Mail",Paris,Medium,656.76,649.64
406063,SKU_1366,"Wall Clock",47,"2020-01-25 04:00:00",61.01,34667.0,Portugal,0.39,"Credit Card",5.85,Electronics,In-store,"Not Returned","Royal Mail",Amsterdam,Low,2849.14,2843.29
790607,SKU_1485,T-shirt,6,"2020-01-25 07:00:00",22.62,99825.0,Netherlands,0.11,"Credit Card",11.84,Electronics,In-store,"Not Returned",DHL,London,Medium,135.06,123.22
595972,SKU_1273,"USB Cable",4,"2020-01-25 14:00:00",35.56,41764.0,France,0.39,paypall,12.54,Electronics,In-store,"Not Returned",FedEx,London,Medium,140.68,128.14
990617,SKU_1811,Notebook,8,"2020-01-25 16:00:00",62.83,71810.0,Portugal,0.16,"Credit Card",27.02,Electronics,Online,"Not Returned",UPS,London,High,501.36,474.34
692673,SKU_1051,Headphones,6,"2020-01-25 21:00:00",84.72,42814.0,Sweden,0.22,"Credit Card",14.91,Electronics,Online,"Not Returned",UPS,Paris,High,507,492.09
533374,SKU_1120,Notebook,26,"2020-01-25 23:00:00",47.42,66777.0,"United Kingdom",0.16,"Bank Transfer",17.83,Electronics,Online,"Not Returned",FedEx,Berlin,High,1228.76,1210.93
987225,SKU_1474,"Wireless Mouse",21,"2020-01-26 03:00:00",15.26,56810.0,Netherlands,0.04,"Bank Transfer",28.15,Electronics,Online,"Not Returned","Royal Mail",Berlin,Low,319.62,291.47
453151,SKU_1771,Headphones,35,"2020-01-26 17:00:00",14.55,35750.0,Spain,0.25,paypall,12.86,Electronics,Online,"Not Returned",DHL,Berlin,High,500.5,487.64
291962,SKU_1204,Headphones,5,"2020-01-26 19:00:00",63.96,70793.0,Belgium,0.22,"Credit Card",27.04,Electronics,Online,"Not Returned",UPS,Amsterdam,High,318.7,291.66
814635,SKU_1824,"Wall Clock",24,"2020-01-26 22:00:00",72.5,40881.0,"United Kingdom",0.29,paypall,26.31,Electronics,In-store,"Not Returned",FedEx,Rome,High,1733.04,1706.73
987474,SKU_1055,T-shirt,32,"2020-01-27 03:00:00",92.51,42832.0,Norway,0.46,"Bank Transfer",24.57,Electronics,Online,"Not Returned",FedEx,Rome,Low,2945.6,2921.03
924926,SKU_1951,"Blue Pen",39,"2020-01-27 15:00:00",81.93,66157.0,Sweden,0.03,paypall,29.06,Electronics,In-store,"Not Returned",DHL,Paris,Low,3194.1,3165.04
651638,SKU_1152,"Wireless Mouse",45,"2020-01-27 22:00:00",19.41,GUEST,Italy,0.22,"Bank Transfer",14.84,Electronics,Online,"Not Returned",UPS,MAIN,High,863.55,848.71
437497,SKU_1514,"Wireless Mouse",38,"2020-01-28 04:00:00",39.75,68993.0,Australia,0.23,"Credit Card",14.04,Electronics,Online,"Not Returned",FedEx,Berlin,High,1501.76,1487.72
924945,SKU_1693,"Blue Pen",26,"2020-01-28 13:00:00",82.39,45977.0,Spain,0.25,"Bank Transfer",25.74,Electronics,In-store,"Not Returned",FedEx,London,Medium,2135.64,2109.9
160692,SKU_1828,"Wall Clock",9,"2020-01-28 19:00:00",49.16,39065.0,"United States",0.06,"Bank Transfer",5.29,Electronics,In-store,"Not Returned",FedEx,Berlin,Medium,441.9,436.61
320156,SKU_1315,"USB Cable",22,"2020-01-28 20:00:00",20.08,48325.0,"United Kingdom",0.46,"Credit Card",17.83,Electronics,Online,"Not Returned",FedEx,Paris,High,431.64,413.81
616771,SKU_1884,"Wall Clock",12,"2020-01-28 22:00:00",52.86,16003.0,Germany,0.37,paypall,23.58,Electronics,In-store,"Not Returned",UPS,Amsterdam,Medium,629.88,606.3
643176,SKU_1477,Backpack,4,"2020-01-29 01:00:00",95.27,99963.0,"United States",0.24,paypall,28.35,Electronics,Online,"Not Returned",UPS,Rome,Low,380.12,351.77
791095,SKU_1427,Backpack,2,"2020-01-29 02:00:00",32.22,81660.0,Portugal,0.29,"Credit Card",7.63,Electronics,Online,"Not Returned",DHL,London,Medium,63.86,56.23
